"Objekt-ID";"Kunde";"Ort";"Objekttyp";"Leistung";"Kategorie";"Saison";"Frequenz";"Dauer je Einsatz (min)";"Einsaetze/Monat";"Minuten/Monat";"Zugewiesenes Team"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"24";"1.63";"39";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"19";"4.33";"82";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"15";"4.33";"65";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"54";"1";"54";"Team Oberland (D. Meier)"
"WSG-004";"Immo Zuerichsee AG";"Fislisbach";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"27";"4.33";"117";"Team Oberland (D. Meier)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Treppenhausreinigung";"UR";"Ganzjahr";"taeglich";"36";"21.7";"781";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Unterhaltsreinigung";"UR";"Ganzjahr";"taeglich";"47";"21.7";"1020";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"taeglich";"15";"21.7";"326";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"38";"0.83";"32";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"40";"1";"40";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Sanitaerreinigung";"UR";"Ganzjahr";"taeglich";"31";"21.7";"673";"Team See (T. Frei)"
"WSG-005";"Immo Zuerichsee AG";"Mellingen";"Buerogebaeude";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"20";"4.33";"87";"Team See (T. Frei)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"52";"4.33";"225";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"18";"4.33";"78";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"21";"4.33";"91";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"17";"4.33";"74";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"56";"1";"56";"Team Sued (P. Rrahmani)"
"WSG-006";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"29";"4.33";"126";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"2x woechentlich";"65";"8.7";"566";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"2x woechentlich";"33";"8.7";"287";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"21";"1.63";"34";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"2x woechentlich";"22";"8.7";"191";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"18";"4.33";"78";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"61";"1";"61";"Team Sued (P. Rrahmani)"
"WSG-007";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"31";"4.33";"134";"Team Sued (P. Rrahmani)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"46";"4.33";"199";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"32";"4.33";"139";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"23";"1.63";"37";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"19";"4.33";"82";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"15";"4.33";"65";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"54";"1";"54";"Team Nord (M. Kaya)"
"WSG-008";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"27";"4.33";"117";"Team Nord (M. Kaya)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"14-taeglich";"45";"2.17";"98";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"14-taeglich";"20";"2.17";"43";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"14-taeglich";"18";"2.17";"39";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"14";"4.33";"61";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"14-taeglich";"25";"2.17";"54";"Team Limmattal (A. Costa)"
"WSG-009";"Immo Zuerichsee AG";"Wettingen";"Mehrfamilienhaus";"Fensterreinigung";"SR";"Ganzjahr";"quartalsweise";"34";"0.33";"11";"Team Limmattal (A. Costa)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Treppenhausreinigung";"UR";"Ganzjahr";"2x woechentlich";"105";"8.7";"913";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Unterhaltsreinigung";"UR";"Ganzjahr";"2x woechentlich";"127";"8.7";"1105";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"51";"1.63";"83";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"2x woechentlich";"30";"8.7";"261";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"28";"4.33";"121";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"85";"1";"85";"Team Nord (M. Kaya)"
"WSG-010";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"44";"4.33";"191";"Team Nord (M. Kaya)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Treppenhausreinigung";"UR";"Ganzjahr";"2x woechentlich";"49";"8.7";"426";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"2x woechentlich";"50";"8.7";"435";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"2x woechentlich";"20";"8.7";"174";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"16";"4.33";"69";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"55";"1";"55";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Sanitaerreinigung";"UR";"Ganzjahr";"2x woechentlich";"32";"8.7";"278";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"28";"4.33";"121";"Team Sued (P. Rrahmani)"
"WSG-011";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohn- und Geschaeftshaus";"Fensterreinigung";"SR";"Ganzjahr";"quartalsweise";"53";"0.33";"17";"Team Sued (P. Rrahmani)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"82";"4.33";"355";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"50";"4.33";"216";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"81";"1.63";"132";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"25";"4.33";"108";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"35";"0.83";"29";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"23";"4.33";"100";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"72";"1";"72";"Springer-Team (R. Iseni)"
"WSG-012";"Alpina Immobilien Verwaltung AG";"Rapperswil-Jona";"Wohnueberbauung";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"37";"4.33";"160";"Springer-Team (R. Iseni)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"48";"4.33";"208";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"90";"4.33";"390";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"15";"4.33";"65";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"44";"0.83";"37";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"40";"1";"40";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Sanitaerreinigung";"UR";"Ganzjahr";"woechentlich";"45";"4.33";"195";"Team Limmattal (A. Costa)"
"WSG-013";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Buerogebaeude";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"20";"4.33";"87";"Team Limmattal (A. Costa)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"149";"4.33";"645";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"108";"4.33";"468";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"73";"1.63";"119";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"40";"4.33";"173";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"30";"4.33";"130";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"115";"1";"115";"Team Nord (M. Kaya)"
"WSG-014";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohnueberbauung";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"60";"4.33";"260";"Team Nord (M. Kaya)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"59";"4.33";"255";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"17";"4.33";"74";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Gartenpflege/Gruenunterhalt";"GU";"Mrz-Nov";"14-taeglich (Mrz-Nov)";"20";"1.63";"33";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Umgebungsunterhalt (Wege/Vorplatz)";"UR";"Ganzjahr";"woechentlich";"22";"4.33";"95";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Winterdienst";"WD";"Dez-Feb";"nach Bedarf (Winter)";"32";"0.83";"27";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Entsorgung/Kehrichtdienst";"UR";"Ganzjahr";"woechentlich";"18";"4.33";"78";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Tiefgaragenreinigung";"SR";"Ganzjahr";"monatlich";"61";"1";"61";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Technischer Hauswart (Kontrollgang/Kleinreparaturen)";"TH";"Ganzjahr";"woechentlich";"31";"4.33";"134";"Team Oberland (D. Meier)"
"WSG-015";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Mehrfamilienhaus";"Fensterreinigung";"SR";"Ganzjahr";"quartalsweise";"32";"0.33";"11";"Team Oberland (D. Meier)"
"WSG-016";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohn- und Geschaeftshaus";"Treppenhausreinigung";"UR";"Ganzjahr";"woechentlich";"45";"4.33";"195";"Team Limmattal (A. Costa)"
"WSG-016";"Alpina Immobilien Verwaltung AG";"Pfäffikon SZ";"Wohn- und Geschaeftshaus";"Unterhaltsreinigung";"UR";"Ganzjahr";"woechentlich";"35";"4.33";"152";"Team Limmattal (A. Costa)"
